Data;Valor
1995-08-01;153729
1995-09-01;139166
1995-10-01;151978
1995-11-01;148248
1995-12-01;127342
1996-01-01;105226
1996-02-01;123172
1996-03-01;140737
1996-04-01;136759
1996-05-01;151333
1996-06-01;129247
1996-07-01;155654
1996-08-01;166051
1996-09-01;161595
1996-10-01;162308
1996-11-01;160074
1996-12-01;138632
1997-01-01;134826
1997-02-01;146106
1997-03-01;169144
1997-04-01;183864
1997-05-01;175250
1997-06-01;179299
1997-07-01;172335
1997-08-01;179897
1997-09-01;187828
1997-10-01;189022
1997-11-01;128669
1997-12-01;97218
1998-01-01;114705
1998-02-01;109673
1998-03-01;153318
1998-04-01;143968
1998-05-01;154590
1998-06-01;143617
1998-07-01;114405
1998-08-01;165523
1998-09-01;128466
1998-10-01;101326
1998-11-01;100166
1998-12-01;105195
1999-01-01;93410
1999-02-01;43012
1999-03-01;143191
1999-04-01;125455
1999-05-01;115192
1999-06-01;107259
1999-07-01;113304
1999-08-01;122756
1999-09-01;127084
1999-10-01;92360
1999-11-01;87227
1999-12-01;86703
2000-01-01;89216
2000-02-01;112595
2000-03-01;117823
2000-04-01;116950
2000-05-01;129723
2000-06-01;124682
2000-07-01;125791
2000-08-01;142446
2000-09-01;130591
2000-10-01;131235
2000-11-01;134893
2000-12-01;133536
2001-01-01;122184
2001-02-01;132323
2001-03-01;164995
2001-04-01;154819
2001-05-01;161748
2001-06-01;138138
2001-07-01;125818
2001-08-01;131950
2001-09-01;101296
2001-10-01;111787
2001-11-01;129783
2001-12-01;126441
2002-01-01;114681
2002-02-01;97521
2002-03-01;123783
2002-04-01;138839
2002-05-01;123208
2002-06-01;107594
2002-07-01;124804
2002-08-01;126624
2002-09-01;129695
2002-10-01;140380
2002-11-01;123296
2002-12-01;128155
2003-01-01;112312
2003-02-01;118175
2003-03-01;102723
2003-04-01;108731
2003-05-01;106865
2003-06-01;100276
2003-07-01;113755
2003-08-01;100783
2003-09-01;125062
2003-10-01;140749
2003-11-01;130305
2003-12-01;168868
2004-01-01;107425
2004-02-01;104785
2004-03-01;141632
2004-04-01;115458
2004-05-01;123086
2004-06-01;130697
2004-07-01;133844
2004-08-01;130483
2004-09-01;137722
2004-10-01;136871
2004-11-01;138803
2004-12-01;177969
2005-01-01;106643
2005-02-01;114925
2005-03-01;149424
2005-04-01;137667
2005-05-01;142978
2005-06-01;148491
2005-07-01;138744
2005-08-01;151626
2005-09-01;144354
2005-10-01;137710
2005-11-01;158440
2005-12-01;183642
2006-01-01;132890
2006-02-01;127881
2006-03-01;156788
2006-04-01;131150
2006-05-01;164132
2006-06-01;148384
2006-07-01;165807
2006-08-01;178508
2006-09-01;159368
2006-10-01;175255
2006-11-01;182732
2006-12-01;204843
2007-01-01;152931
2007-02-01;146765
2007-03-01;193450
2007-04-01;179320
2007-05-01;211103
2007-06-01;198791
2007-07-01;217365
2007-08-01;235256
