Data;Valor
2008-06-01;292422
2008-07-01;305384
2008-08-01;299556
2008-09-01;286610
2008-10-01;280178
2008-11-01;187374
2008-12-01;91314
2009-01-01;180242
2009-02-01;196546
2009-03-01;266162
2009-04-01;244700
2009-05-01;262452
2009-06-01;276445
2009-07-01;271385
2009-08-01;284904
2009-09-01;263767
2009-10-01;306291
2009-11-01;282512
2009-12-01;240594
2010-01-01;233395
2010-02-01;236614
2010-03-01;318011
2010-04-01;274873
2010-05-01;297374
2010-06-01;283997
2010-07-01;290756
2010-08-01;308387
2010-09-01;278441
2010-10-01;293567
2010-11-01;301940
2010-12-01;264780
2011-01-01;239301
2011-02-01;295946
2011-03-01;296322
2011-04-01;283219
2011-05-01;305251
2011-06-01;296050
2011-07-01;308798
2011-08-01;326213
2011-09-01;261130
2011-10-01;270949
2011-11-01;273358
2011-12-01;261245
2012-01-01;210604
2012-02-01;219068
2012-03-01;313178
2012-04-01;266275
2012-05-01;286215
2012-06-01;277722
2012-07-01;301142
2012-08-01;333316
2012-09-01;289693
2012-10-01;323940
2012-11-01;314727
2012-12-01;268504
2013-01-01;291884
2013-02-01;242072
2013-03-01;329103
2013-04-01;352328
2013-05-01;344556
2013-06-01;323853
2013-07-01;316740
2013-08-01;343562
2013-09-01;322776
2013-10-01;322677
2013-11-01;293155
2013-12-01;231107
2014-01-01;237390
2014-02-01;281627
2014-03-01;272754
2014-04-01;277091
2014-05-01;281355
2014-06-01;215943
2014-07-01;254348
2014-08-01;264637
2014-09-01;300931
2014-10-01;293328
2014-11-01;264830
2014-12-01;207597
2015-01-01;204716
2015-02-01;205953
2015-03-01;256480
2015-04-01;219623
2015-05-01;213047
2015-06-01;187608
2015-07-01;223145
2015-08-01;216991
2015-09-01;176757
2015-10-01;208097
2015-11-01;173874
2015-12-01;141798
2016-01-01;152778
2016-02-01;144333
2016-03-01;200352
2016-04-01;171298
2016-05-01;178895
2016-06-01;186250
2016-07-01;191779
2016-08-01;181197
2016-09-01;172105
2016-10-01;177570
2016-11-01;219084
2016-12-01;201143
2017-01-01;179376
2017-02-01;201763
2017-03-01;236568
2017-04-01;191554
2017-05-01;253398
2017-06-01;214838
2017-07-01;225831
2017-08-01;266489
2017-09-01;239763
2017-10-01;253906
2017-11-01;254073
2017-12-01;219697
2018-01-01;219217
2018-02-01;213498
2018-03-01;267539
2018-04-01;266549
2018-05-01;212329
2018-06-01;256311
2018-07-01;245935
2018-08-01;291099
2018-09-01;223081
2018-10-01;263186
2018-11-01;244771
2018-12-01;177503
2019-01-01;199145
2019-02-01;257939
2019-03-01;240763
2019-04-01;267561
2019-05-01;275747
2019-06-01;233150
2019-07-01;266992
2019-08-01;269758
2019-09-01;247455
2019-10-01;288519
2019-11-01;227455
2019-12-01;170504
2020-01-01;191731
2020-02-01;204206
2020-03-01;189958
2020-04-01;1847
2020-05-01;43080
2020-06-01;98447
2020-07-01;170651
2020-08-01;210009
2020-09-01;220162
2020-10-01;236468
2020-11-01;238200
2020-12-01;209296
2021-01-01;200398
2021-02-01;197035
2021-03-01;200340
2021-04-01;190907
2021-05-01;192843
2021-06-01;167547
2021-07-01;164156
2021-08-01;165330
2021-09-01;174087
2021-10-01;178965
2021-11-01;205720
2021-12-01;210925
2022-01-01;145417
2022-02-01;165935
2022-03-01;184786
2022-04-01;186037
2022-05-01;205916
2022-06-01;203598
2022-07-01;218950
2022-08-01;237961
2022-09-01;207762
2022-10-01;206044
2022-11-01;215796
2022-12-01;191567
2023-01-01;152666
2023-02-01;161518
2023-03-01;221835
2023-04-01;178853
2023-05-01;227914
2023-06-01;189182
2023-07-01;183016
2023-08-01;226954
2023-09-01;208889
2023-10-01;199758
2023-11-01;202675
2023-12-01;171578
2024-01-01;152564
2024-02-01;189684
2024-03-01;195751
2024-04-01;222115
2024-05-01;166732
2024-06-01;211035
2024-07-01;246721
2024-08-01;259613
2024-09-01;229989
2024-10-01;249114
2024-11-01;236146
2024-12-01;190131
